slug,site_status,site_type,image_status,image_type,image_length
medina-crossbody-cognac,200,text/html; charset=utf-8,200,image/webp,257260
medina-crossbody-tooled-walnut,200,text/html; charset=utf-8,200,image/webp,934774
medina-saddlebag-tooled-cognac,200,text/html; charset=utf-8,200,image/webp,93170
classic-cognac-satchel,200,text/html; charset=utf-8,200,image/webp,58806
marrakech-tote-cognac,200,text/html; charset=utf-8,200,image/webp,68596
explorer-rolltop-cognac,200,text/html; charset=utf-8,200,image/webp,579422
atlas-kilim-duffle,200,text/html; charset=utf-8,200,image/webp,173498
medina-crossbody-envelope,200,text/html; charset=utf-8,200,image/webp,89144
